Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
conjunction	negative	1	Null	hit	F	7444	2	6882805	1	7500	1	0	next
conjunction	positive	15	T_green	hit	J	8690	2	6915640	1	8834	1	0	next
conjunction	negative	5	Null	hit	F	6681	2	6949809	1	6834	1	0	next
conjunction	negative	1	Null	hit	F	5872	2	6981978	1	6000	1	0	next
conjunction	positive	30	T_green	hit	J	16777	2	7013313	1	16834	1	0	next
conjunction	positive	30	T_green	incorrect	F	14450	2	7055483	1	14501	1	0	next
conjunction	positive	5	T_green	incorrect	F	5657	2	7095319	1	5834	1	0	next
conjunction	positive	30	T_green	hit	J	7611	2	7126487	1	7667	1	0	next
conjunction	negative	30	Null	hit	F	15566	2	7159489	1	15668	1	0	next
conjunction	positive	30	T_green	hit	J	18405	2	7200492	1	18501	1	0	next
conjunction	negative	1	Null	hit	F	6730	2	7244328	1	6834	1	0	next
conjunction	negative	1	Null	hit	F	5120	2	7276497	1	5167	1	0	next
conjunction	negative	15	Null	hit	F	11740	2	7306999	1	11834	1	0	next
conjunction	positive	1	T_green	incorrect	F	4812	2	7344168	1	5000	1	0	next
conjunction	negative	30	Null	hit	F	17517	2	7374503	1	17668	1	0	next
conjunction	positive	30	T_green	incorrect	F	9720	2	7417506	1	9834	1	0	next
conjunction	negative	5	Null	hit	F	9588	2	7452675	1	9667	1	0	next
conjunction	positive	15	T_green	incorrect	F	8506	2	7487677	1	8667	1	0	next
conjunction	negative	15	Null	hit	F	13865	2	7521679	1	14001	1	0	next
conjunction	negative	1	Null	hit	F	4770	2	7561015	1	4834	1	0	next
conjunction	negative	1	Null	hit	F	4202	2	7591184	1	4334	1	0	next
conjunction	positive	30	T_green	incorrect	F	15828	2	7620852	1	16001	1	0	next
conjunction	positive	1	T_green	hit	J	5039	2	7662188	1	5167	1	0	next
conjunction	positive	30	T_green	incorrect	F	11178	2	7692690	1	11334	1	0	next
conjunction	positive	1	T_green	hit	J	4273	2	7729359	1	4334	1	0	next
conjunction	negative	30	Null	hit	F	14122	2	7759028	1	14168	1	0	next
conjunction	positive	15	T_green	hit	J	9181	2	7798530	1	9334	1	0	next
conjunction	positive	5	T_green	incorrect	F	6994	2	7833199	1	7167	1	0	next
conjunction	negative	5	Null	hit	F	6172	2	7865701	1	6334	1	0	next
conjunction	positive	30	T_green	incorrect	F	15623	2	7897370	1	15668	1	0	next
